waktu,text_asli,terjemahan,negara,akun,clean,normal,tokens,stem,final_text,skor,label,punya_emoji,label_sebelum_sarkas
2025-01-04T17:16:02.000Z,Straks nemen inbrekers gewoon je statiegeld flessen mee..,Sebentar lagi pencuri akan membawa simpanan botol Anda...,Belanda,defanoholwijn,sebentar lagi pencuri akan membawa simpanan botol anda,sebentar lagi pencuri akan membawa simpanan botol anda,"['sebentar', 'pencuri', 'membawa', 'simpanan', 'botol']","['sebentar', 'curi', 'bawa', 'simpan', 'botol']",sebentar curi bawa simpan botol,-9,negatif,FALSE,negatif
2025-01-04T15:13:03.000Z,Kga nu ook gewoon prullenbakken langs 🥰,Sekarang saya akan mengunjungi tempat sampah saja 🥰,Belanda,defanoholwijn,sekarang saya akan mengunjungi tempat sampah saja,sekarang saya akan mengunjungi tempat sampah saja,"['sekarang', 'mengunjungi', 'tempat', 'sampah']","['sekarang', 'unjung', 'tempat', 'sampah']",sekarang unjung tempat sampah,-7,negatif,TRUE,negatif
2025-01-04T15:15:45.000Z,"Zelfscan is de oplossing, krijg je er geld bij 😆","Scan mandiri solusinya, dapat uang 😆",Belanda,defanoholwijn,scan mandiri solusinya dapat uang,scan mandiri solusinya dapat uang,"['scan', 'mandiri', 'solusinya', 'uang']","['scan', 'mandiri', 'solusi', 'uang']",scan mandiri solusi uang,0,netral,TRUE,netral
2025-01-04T18:43:52.000Z,Dalijk moeten we ook betalen om te ademen,Sebentar lagi kita juga harus membayar untuk bernafas,Belanda,defanoholwijn,sebentar lagi kita juga harus membayar untuk bernafas,sebentar lagi kita juga harus membayar untuk bernafas,"['sebentar', 'membayar', 'bernafas']","['sebentar', 'bayar', 'nafas']",sebentar bayar nafas,-1,negatif,FALSE,negatif
2025-01-04T16:04:33.000Z,Zelfscan gaan dus,Jadi lakukan pemindaian mandiri,Belanda,defanoholwijn,jadi lakukan pemindaian mandiri,jadi lakukan pemindaian mandiri,"['jadi', 'lakukan', 'pemindaian', 'mandiri']","['jadi', 'laku', 'pindai', 'mandiri']",jadi laku pindai mandiri,-2,negatif,FALSE,negatif
2025-01-04T21:58:57.000Z,Ik kan niet de hele dag een leeg blikje in mijn tas laten op school als ik appie heb gepakt. Scholen moeten ook gwn die statiegeld machines neerzetten,Saya tidak bisa meninggalkan kaleng kosong di tas saya sepanjang hari di sekolah jika saya sudah mengambil aplikasi. Sekolah juga harus menyiapkan mesin simpanan,Belanda,defanoholwijn,saya tidak bisa meninggalkan kaleng kosong di tas saya sepanjang hari di sekolah jika saya sudah mengambil aplikasi sekolah juga harus menyiapkan mesin simpanan,saya tidak bisa meninggalkan kaleng kosong di tas saya sepanjang hari di sekolah jika saya sudah mengambil aplikasi sekolah juga harus menyiapkan mesin simpanan,"['meninggalkan', 'kaleng', 'kosong', 'tas', 'sepanjang', 'hari', 'sekolah', 'mengambil', 'aplikasi', 'sekolah', 'menyiapkan', 'mesin', 'simpanan']","['tinggal', 'kaleng', 'kosong', 'tas', 'panjang', 'hari', 'sekolah', 'ambil', 'aplikasi', 'sekolah', 'siap', 'mesin', 'simpan']",tinggal kaleng kosong tas panjang hari sekolah ambil aplikasi sekolah siap mesin simpan,-6,negatif,FALSE,negatif
2025-01-04T18:02:54.000Z,je moet nu gaan sparen dan pak je later winst op je fles,Anda harus mulai menabung sekarang agar Anda bisa mendapat untung dari botol Anda nanti,Belanda,defanoholwijn,anda harus mulai menabung sekarang agar anda bisa mendapat untung dari botol anda nanti,anda harus mulai menabung sekarang agar anda bisa mendapat untung dari botol anda nanti,"['mulai', 'menabung', 'sekarang', 'mendapat', 'untung', 'botol']","['mulai', 'tabung', 'sekarang', 'dapat', 'untung', 'botol']",mulai tabung sekarang dapat untung botol,9,positif,FALSE,positif
2025-01-04T15:26:50.000Z,Kwam er geen onderzoek uit dat de nieuwe statiegeld regel absoluut geen effect had voor het milieu en zelfs zorgde voor meer afval op straat? Waar zijn ze nu mee bezig dan? Wie keurt dit goed?,Bukankah penelitian menunjukkan bahwa aturan deposito yang baru sama sekali tidak berdampak pada lingkungan dan bahkan menimbulkan lebih banyak sampah di jalan? Apa yang mereka lakukan sekarang? Siapa yang menyetujui ini?,Belanda,defanoholwijn,bukankah penelitian menunjukkan bahwa aturan deposito yang baru sama sekali tidak berdampak pada lingkungan dan bahkan menimbulkan lebih banyak sampah di jalan apa yang mereka lakukan sekarang siapa yang menyetujui ini,bukankah penelitian menunjukkan bahwa aturan deposito yang baru sama sekali tidak berdampak pada lingkungan dan bahkan menimbulkan lebih banyak sampah di jalan apa yang mereka lakukan sekarang siapa yang menyetujui ini,"['bukankah', 'penelitian', 'menunjukkan', 'aturan', 'deposito', 'baru', 'sama', 'sekali', 'berdampak', 'lingkungan', 'bahkan', 'menimbulkan', 'lebih', 'banyak', 'sampah', 'jalan', 'apa', 'lakukan', 'sekarang', 'siapa', 'menyetujui']","['bukankah', 'teliti', 'tunjuk', 'atur', 'deposito', 'baru', 'sama', 'sekali', 'dampak', 'lingkung', 'bahkan', 'timbul', 'lebih', 'banyak', 'sampah', 'jalan', 'apa', 'laku', 'sekarang', 'siapa', 'tuju']",bukankah teliti tunjuk atur deposito baru sama sekali dampak lingkung bahkan timbul lebih banyak sampah jalan apa laku sekarang siapa tuju,4,positif,FALSE,positif
2025-01-04T18:27:58.000Z,Ondertussen die grote flessen wasmiddel en olie en azijn geen statiegeld….,"Sedangkan deterjen, minyak, dan cuka dalam botol besar itu tidak ada endapannya...",Belanda,defanoholwijn,sedangkan deterjen minyak dan cuka dalam botol besar itu tidak ada endapannya,sedangkan deterjen minyak dan cuka dalam botol besar itu tidak ada endapannya,"['deterjen', 'minyak', 'cuka', 'botol', 'besar', 'endapannya']","['deterjen', 'minyak', 'cuka', 'botol', 'besar', 'endap']",deterjen minyak cuka botol besar endap,4,positif,FALSE,positif
2025-01-04T23:46:14.000Z,Buy low sell high,"Beli rendah, jual tinggi",Belanda,defanoholwijn,beli rendah jual tinggi,beli rendah jual tinggi,"['beli', 'rendah', 'jual', 'tinggi']","['beli', 'rendah', 'jual', 'tinggi']",beli rendah jual tinggi,1,positif,FALSE,positif
